staff_id,first_name,last_name,email,phone,active,store_id,manager_id
24,sKegvu,aMlKawil,skegvu.amlkawil@test.com,4077664731,0,2,12
25,UvYviW,DHKjLLkp,uvyviw.dhkjllkp@sample.org,5397516442,1,3,5
26,OJfPMI,wJxXlbLr,ojfpmi.wjxxlblr@test.com,3912508812,1,4,22
27,MAiXsn,rBHgHmcZ,maixsn.rbhghmcz@test.com,5132167129,1,5,6
28,zqfCpu,clsZgYOs,zqfcpu.clszgyos@example.com,6265049391,1,8,11
29,pFjpEH,EGmateBC,pfjpeh.egmatebc@sample.org,2997331895,0,3,12
30,wDGCoa,vAkXEMoE,wdgcoa.vakxemoe@example.com,6176861871,1,7,28
31,Lnlnyd,xRsZIOXL,lnlnyd.xrszioxl@example.com,2499920424,1,7,1
32,AdafBu,LwJhbnDA,adafbu.lwjhbnda@test.com,3386016491,1,6,4
33,Yhiuqg,OUZsPPHR,yhiuqg.ouzspphr@test.com,0412862274,1,5,30
34,SkOdyG,oWzZtYWX,skodyg.owzztywx@sample.org,1537111552,1,10,19
35,CjmoBu,QsDzwilo,cjmobu.qsdzwilo@sample.org,8116398181,1,2,2
36,GDpZAJ,OWBFiJxl,gdpzaj.owbfijxl@example.com,8971289855,0,5,18
37,xJuBRm,nYcOjLCo,xjubrm.nycojlco@sample.org,6544118334,1,3,26
38,qxBxWs,nPzduFkv,qxbxws.npzdufkv@test.com,7558989029,0,9,31
39,Tqoghy,nCWZAzgH,tqoghy.ncwzazgh@sample.org,2680215190,0,3,20
40,ZXMLTh,NtARLrLV,zxmlth.ntarlrlv@test.com,3872495393,0,9,16
41,HiUEoP,rJPdnDwK,hiueop.rjpdndwk@example.com,7901851767,0,5,17
42,rrEPcv,YNrzgJMP,rrepcv.ynrzgjmp@example.com,1086839058,0,3,24
43,vCWvtq,uRZTcgUf,vcwvtq.urztcguf@test.com,5012368933,0,5,8
44,AqbJCo,JmaZWSYR,aqbjco.jmazwsyr@example.com,0834141200,0,1,39
45,xxiOno,TWHGecbd,xxiono.twhgecbd@test.com,0020864006,1,8,17
46,aOtVnH,WQZKFGNT,aotvnh.wqzkfgnt@sample.org,7337372178,0,4,14
47,brTiTu,LRENxukw,brtitu.lrenxukw@sample.org,8649630397,1,9,15
48,bTZtnK,nYXyGoOj,btztnk.nyxygooj@test.com,7920165813,0,8,7
49,DAbjAa,HiFCGFiE,dabjaa.hifcgfie@test.com,2614941624,0,5,46
50,vtxDtt,dbnJxweI,vtxdtt.dbnjxwei@test.com,7042753665,1,9,48
51,IxUuVL,kXyfnxBo,ixuuvl.kxyfnxbo@example.com,5241613753,1,1,37
52,lHXfAP,sVxlGPWX,lhxfap.svxlgpwx@sample.org,0360230052,1,2,1
53,TkBusf,MXAqpoWE,tkbusf.mxaqpowe@sample.org,9737487349,1,4,25
54,IVSgWs,WKIOELuU,ivsgws.wkioeluu@test.com,2671769540,1,10,33
55,UgNBLu,dEwlrVRG,ugnblu.dewlrvrg@example.com,6192283149,1,10,32
56,hiIjeW,dMqNRIEc,hiijew.dmqnriec@example.com,6916377867,0,4,31
57,RfrZSQ,VKdaWesL,rfrzsq.vkdawesl@test.com,8879732154,1,5,15
58,ZTyFUQ,hzhVqssS,ztyfuq.hzhvqsss@test.com,1205015028,0,2,13
59,nKDZWs,RTqmpwkY,nkdzws.rtqmpwky@example.com,9282879675,1,4,54
60,QtbFUk,NMWPozIp,qtbfuk.nmwpozip@test.com,7393049948,1,8,53
61,zNuvmI,euaMccuU,znuvmi.euamccuu@test.com,8875913930,0,8,44
62,SFordQ,seGjvnkV,sfordq.segjvnkv@sample.org,8734925124,1,10,43
63,vtdilE,FgqKSEyn,vtdile.fgqkseyn@example.com,2233006307,0,1,16
64,jrNAwE,BEakmiaB,jrnawe.beakmiab@example.com,5605177480,0,3,4
65,RAeiCF,PwYqJZtF,raeicf.pwyqjztf@test.com,6165310763,0,1,26
66,BOOGnm,UdJiPQnC,boognm.udjipqnc@test.com,6773618224,1,8,56
67,EZFlAm,LivPGQrH,ezflam.livpgqrh@sample.org,0519603677,1,2,28
68,ccFpJE,bdWUOyNS,ccfpje.bdwuoyns@example.com,3208552753,1,8,56
69,QRnxvS,YPtsZIyN,qrnxvs.yptsziyn@sample.org,3522085833,1,2,1
70,GjdpeR,DovBZBnv,gjdper.dovbzbnv@test.com,1389012541,0,4,8
71,PMfZEu,RgkCHxVU,pmfzeu.rgkchxvu@example.com,5421604509,0,1,64
72,uqNLWE,JDGJMfel,uqnlwe.jdgjmfel@sample.org,4131410514,1,1,53
73,zuHZoF,PlHZzlXH,zuhzof.plhzzlxh@test.com,5226206573,0,8,33
74,WKxSiy,kLylhXNd,wkxsiy.klylhxnd@example.com,9643193687,0,10,1
75,yPpSnQ,ImBUqXJW,yppsnq.imbuqxjw@test.com,0424192551,1,3,47
76,OSgmEJ,EuydxmSB,osgmej.euydxmsb@test.com,8452570030,0,6,73
77,ZhRpbW,vfRYZkwZ,zhrpbw.vfryzkwz@test.com,4929715236,1,5,18
78,SITFVs,jAelSNWo,sitfvs.jaelsnwo@sample.org,2105891890,1,2,54
79,mJwmRw,Juuvuqvh,mjwmrw.juuvuqvh@example.com,3309830465,1,8,53
80,EDGIIw,taHhiqkL,edgiiw.tahhiqkl@test.com,9548591896,1,2,73
81,bRlPUX,mQypczbR,brlpux.mqypczbr@example.com,3601779457,1,1,
82,xLpoeg,prHJIUdF,xlpoeg.prhjiudf@test.com,5461705284,0,7,6
83,WIAmdn,oPjeJLNO,wiamdn.opjejlno@test.com,6256709986,0,3,78
84,uGsnbX,rFSnZfYN,ugsnbx.rfsnzfyn@sample.org,6541673296,0,3,41
85,zokdag,FmaossrL,zokdag.fmaossrl@example.com,5385776658,1,7,61
86,KVxDAf,nTHDYyTZ,kvxdaf.nthdyytz@sample.org,6761953473,1,2,79
87,kPupMr,GzUagQjl,kpupmr.gzuagqjl@example.com,8641437021,1,6,16
88,ggrdmW,gevKSLpO,ggrdmw.gevkslpo@test.com,1840963175,1,1,46
89,PbGXnO,MicKLWbF,pbgxno.micklwbf@test.com,6003115895,1,5,78
90,BIlLWQ,RZACwbwn,billwq.rzacwbwn@sample.org,1836930965,0,9,36
91,iiKYPr,RiLtWUAU,iikypr.riltwuau@example.com,0850369343,1,7,32
92,lPlxKt,RYGeAnZR,lplxkt.rygeanzr@example.com,7312001048,1,3,37
93,vCVeoZ,VdEHvHuA,vcveoz.vdehvhua@test.com,7449997920,1,6,81
94,Lfhasr,zmDEOfJP,lfhasr.zmdeofjp@example.com,7656397857,0,1,33
95,XPzJZG,QeKVeDzh,xpzjzg.qekvedzh@test.com,8917091445,0,10,60
96,AwCSkx,UplysXbN,awcskx.uplysxbn@sample.org,5790896735,1,9,57
97,nqgJeI,YnsgWkSj,nqgjei.ynsgwksj@test.com,2715089377,1,10,32
98,jiyIEX,UpKrKJOd,jiyiex.upkrkjod@sample.org,2330304718,1,1,68
99,aBhXot,bYtGDERK,abhxot.bytgderk@sample.org,7201921497,0,1,6
100,zlvMvp,MDvNhqIR,zlvmvp.mdvnhqir@test.com,5413973942,0,1,86
